iter	Passed	Remaining
318	3483	7436
319	3493	7423
320	3503	7410
321	3512	7396
322	3522	7382
323	3532	7371
324	3543	7359
325	3553	7347
326	3564	7335
327	3574	7323
328	3585	7312
329	3607	7323
330	3617	7310
331	3626	7297
332	3636	7284
333	3646	7271
334	3656	7259
335	3667	7248
336	3676	7233
337	3686	7220
338	3695	7205
339	3703	7189
340	3712	7175
341	3721	7160
342	3730	7145
343	3740	7133
344	3750	7121
345	3760	7107
346	3770	7095
347	3780	7082
348	3789	7068
349	3798	7055
350	3808	7042
351	3819	7032
352	3829	7018
353	3839	7006
354	3848	6991
355	3858	6979
356	3867	6965
357	3889	6975
358	3899	6962
359	3914	6958
360	3929	6954
361	3949	6960
362	3959	6948
363	3980	6954
364	3989	6939
365	3998	6926
366	4009	6914
367	4019	6902
368	4028	6888
369	4038	6876
370	4048	6863
371	4057	6850
372	4067	6837
373	4076	6823
374	4085	6809
375	4095	6796
376	4115	6801
377	4126	6789
378	4135	6776
379	4146	6765
380	4157	6754
381	4167	6742
382	4177	6729
383	4187	6717
384	4196	6702
385	4205	6689
386	4214	6676
387	4224	6663
388	4233	6649
389	4243	6637
390	4253	6624
391	4262	6611
392	4273	6600
393	4282	6586
394	4291	6573
395	4302	6562
396	4311	6549
397	4321	6536
398	4329	6521
399	4339	6508
400	4350	6498
401	4359	6484
402	4380	6489
403	4401	6492
404	4410	6479
405	4421	6468
406	4431	6456
407	4441	6444
408	4451	6432
409	4471	6434
410	4480	6421
411	4491	6410
412	4501	6398
413	4511	6385
414	4521	6373
415	4531	6361
416	4540	6348
417	4548	6333
418	4558	6320
419	4579	6324
420	4589	6312
421	4609	6313
422	4621	6304
423	4633	6294
424	4645	6284
425	4656	6273
426	4665	6260
427	4678	6251
428	4688	6241
429	4699	6230
430	4711	6220
431	4729	6218
432	4742	6210
433	4755	6201
434	4766	6190
435	4777	6180
436	4790	6171
437	4801	6161
438	4812	6150
439	4823	6138
440	4836	6131
441	4849	6122
442	4872	6126
443	4884	6116
444	4896	6106
445	4908	6097
446	4926	6094
447	4940	6087
448	4951	6075
449	4960	6062
450	4970	6050
451	4980	6038
452	4991	6027
453	5002	6015
454	5012	6003
455	5021	5990
456	5045	5994
457	5055	5982
458	5064	5969
459	5073	5956
460	5083	5943
461	5091	5929
462	5100	5916
463	5109	5902
464	5119	5890
465	5129	5877
466	5138	5865
467	5147	5851
468	5158	5840
469	5168	5828
470	5177	5815
471	5187	5802
472	5195	5788
473	5204	5775
474	5212	5761
475	5220	5746
476	5229	5734
477	5238	5720
478	5246	5706
479	5256	5694
480	5266	5682
481	5274	5668
482	5283	5655
483	5292	5641
484	5301	5629
485	5310	5616
486	5319	5603
487	5328	5590
488	5337	5577
489	5345	5564
490	5354	5550
491	5362	5537
492	5370	5523
493	5379	5509
494	5387	5496
495	5395	5482
496	5403	5468
497	5410	5454
498	5419	5440
499	5428	5428
500	5437	5415
501	5447	5403
502	5454	5389
503	5462	5375
504	5475	5367
505	5487	5357
506	5498	5346
507	5510	5336
508	5519	5324
509	5529	5313
510	5550	5311
511	5561	5301
512	5572	5290
513	5583	5279
514	5594	5268
515	5604	5256
516	5617	5248
517	5629	5237
518	5639	5226
519	5650	5215
520	5660	5204
521	5669	5191
522	5681	5182
523	5696	5174
524	5707	5164
525	5719	5153
526	5729	5142
527	5740	5131
528	5760	5129
529	5770	5117
530	5778	5104
531	5787	5091
532	5807	5087
533	5817	5076
534	5836	5072
535	5845	5060
536	5854	5047
537	5861	5033
538	5869	5019
539	5877	5006
540	5888	4996
541	5909	4993
542	5917	4980
543	5925	4966
544	5934	4954
545	5942	4941
546	5950	4928
547	5958	4914
548	5967	4902
549	5976	4889
550	5986	4878
551	5996	4866
552	6003	4852
553	6012	4840
554	6020	4827
555	6028	4814
556	6039	4803
557	6048	4790
558	6068	4787
559	6075	4773
560	6084	4761
561	6093	4748
562	6103	4737
563	6112	4724
564	6119	4711
565	6129	4700
566	6138	4687
567	6147	4675
568	6168	4672
569	6188	4668
570	6197	4656
571	6205	4643
572	6213	4630
573	6222	4617
574	6231	4605
575	6238	4592
576	6248	4580
577	6258	4569
578	6268	4557
579	6277	4545
580	6286	4533
581	6295	4521
582	6304	4509
583	6311	4495
584	6325	4487
585	6339	4478
586	6350	4467
587	6359	4455
588	6367	4443
589	6376	4431
590	6396	4426
591	6406	4415
592	6414	4402
593	6425	4391
594	6433	4379
595	6442	4367
596	6452	4355
597	6462	4344
598	6481	4339
599	6490	4327
600	6499	4314
601	6508	4302
602	6517	4291
603	6526	4279
604	6535	4266
605	6547	4257
606	6554	4243
607	6563	4231
608	6571	4219
609	6580	4207
610	6590	4195
611	6597	4182
612	6605	4170
613	6613	4157
614	6624	4147
615	6633	4135
616	6640	4122
617	6649	4109
618	6657	4097
619	6665	4085
620	6674	4073
621	6684	4062
622	6694	4050
623	6703	4039
624	6710	4026
625	6719	4014
626	6727	4002
627	6735	3989
628	6744	3978
629	6752	3966
630	6759	3952
631	6767	3940
632	6774	3927
633	6782	3915
634	6793	3905
635	6802	3893
636	6811	3881
637	6818	3868
638	6825	3856
639	6836	3845
640	6843	3832
641	6850	3819
642	6858	3807
643	6865	3795
644	6872	3782
645	6878	3769
646	6884	3756
647	6892	3744
648	6899	3731
649	6905	3718
650	6911	3705
651	6919	3693
652	6927	3681
653	6937	3670
654	6943	3657
655	6949	3644
656	6955	3631
657	6962	3618
658	6969	3606
659	6977	3594
660	6983	3581
661	6989	3568
662	7001	3558
663	7009	3546
664	7015	3533
665	7020	3520
666	7027	3508
667	7033	3495
668	7041	3484
669	7048	3471
670	7058	3460
671	7066	3449
672	7073	3436
673	7081	3425
674	7090	3413
675	7100	3403
676	7116	3395
677	7125	3384
678	7134	3372
679	7143	3361
680	7153	3350
681	7159	3338
682	7167	3326
683	7173	3313
684	7178	3300
685	7185	3288
686	7193	3277
687	7199	3264
688	7207	3253
689	7213	3240
690	7219	3228
691	7227	3216
692	7233	3204
693	7239	3192
694	7245	3179
695	7253	3168
696	7259	3155
697	7278	3149
698	7285	3137
699	7291	3124
700	7298	3112
701	7303	3100
702	7309	3088
703	7317	3076
704	7323	3064
705	7331	3053
706	7340	3042
707	7345	3029
708	7351	3017
709	7360	3006
710	7369	2995
711	7399	2992
712	7419	2986
713	7440	2980
714	7461	2974
715	7481	2967
716	7502	2961
717	7510	2949
718	7518	2938
719	7526	2926
720	7534	2915
721	7541	2903
722	7548	2892
723	7556	2880
724	7565	2869
725	7573	2858
726	7582	2847
727	7590	2835
728	7597	2824
729	7605	2812
730	7614	2802
731	7621	2790
732	7629	2779
733	7637	2767
734	7645	2756
735	7651	2744
736	7660	2733
737	7666	2721
738	7674	2710
739	7682	2699
740	7690	2688
741	7698	2676
742	7707	2665
743	7715	2654
744	7722	2643
745	7729	2631
746	7738	2621
747	7747	2609
748	7754	2598
749	7762	2587
750	7770	2576
751	7778	2565
752	7786	2554
753	7794	2542
754	7801	2531
755	7808	2520
756	7815	2508
757	7822	2497
758	7830	2486
759	7838	2475
760	7845	2464
761	7853	2452
762	7860	2441
763	7869	2430
764	7889	2423
765	7907	2415
766	7918	2405
767	7925	2394
768	7933	2383
769	7953	2375
770	7960	2364
771	7968	2353
772	7976	2342
773	7983	2331
774	7990	2319
775	8011	2312
776	8020	2301
777	8040	2294
778	8048	2283
779	8057	2272
780	8066	2261
781	8075	2251
782	8083	2240
783	8089	2228
784	8095	2217
785	8102	2205
786	8121	2198
787	8131	2187
788	8140	2176
789	8149	2166
790	8157	2155
791	8165	2144
792	8174	2133
793	8182	2122
794	8190	2112
795	8198	2101
796	8205	2089
797	8214	2079
798	8222	2068
799	8230	2057
800	8238	2046
801	8244	2035
802	8253	2024
803	8260	2013
804	8268	2002
805	8281	1993
806	8289	1982
807	8298	1971
808	8306	1961
809	8314	1950
810	8334	1942
811	8342	1931
812	8350	1920
813	8359	1910
814	8368	1899
815	8377	1889
816	8397	1880
817	8405	1870
818	8414	1859
819	8422	1848
820	8429	1837
821	8437	1827
822	8446	1816
823	8455	1806
824	8463	1795
825	8483	1787
826	8493	1776
827	8501	1766
828	8510	1755
829	8518	1744
830	8527	1734
831	8534	1723
832	8544	1712
833	8552	1702
834	8561	1691
835	8568	1680
836	8575	1670
837	8583	1659
838	8591	1648
839	8601	1638
840	8609	1627
841	8618	1617
842	8625	1606
843	8631	1595
844	8643	1585
845	8650	1574
846	8656	1563
847	8663	1552
848	8670	1542
849	8677	1531
850	8684	1520
851	8692	1509
852	8703	1499
853	8709	1489
854	8718	1478
855	8725	1467
856	8734	1457
857	8742	1446
858	8751	1436
859	8757	1425
860	8764	1414
861	8770	1404
862	8776	1393
863	8782	1382
864	8791	1372
865	8800	1361
866	8808	1351
867	8815	1340
868	8821	1329
869	8828	1319
870	8835	1308
871	8842	1297
872	8853	1287
873	8861	1277
874	8868	1266
875	8876	1256
876	8884	1246
877	8892	1235
878	8899	1225
879	8905	1214
880	8915	1204
881	8924	1193
882	8934	1183
883	8941	1173
884	8949	1162
885	8957	1152
886	8964	1142
887	8975	1132
888	8983	1121
889	8993	1111
890	9000	1101
891	9007	1090
892	9031	1082
893	9057	1073
894	9066	1063
895	9074	1053
896	9082	1042
897	9101	1033
898	9111	1023
899	9120	1013
900	9128	1003
901	9136	992
902	9145	982
903	9152	971
904	9158	961
905	9167	951
906	9176	940
907	9184	930
908	9190	920
909	9209	910
910	9217	900
911	9226	890
912	9233	879
913	9240	869
914	9262	860
915	9270	850
916	9277	839
917	9285	829
918	9295	819
919	9304	809
920	9313	798
921	9321	788
922	9331	778
923	9339	768
924	9346	757
925	9353	747
926	9359	737
927	9367	726
928	9375	716
929	9385	706
930	9405	697
931	9413	686
932	9420	676
933	9428	666
934	9435	655
935	9444	645
936	9466	636
937	9474	626
938	9481	615
939	9488	605
940	9494	595
941	9503	585
942	9513	575
943	9521	564
944	9528	554
945	9535	544
946	9542	534
947	9550	523
948	9570	514
949	9580	504
950	9601	494
951	9620	485
952	9628	474
953	9637	464
954	9645	454
955	9664	444
956	9673	434
957	9679	424
958	9686	414
959	9694	403
960	9701	393
961	9709	383
962	9719	373
963	9727	363
964	9734	353
965	9742	342
966	9749	332
967	9757	322
968	9765	312
969	9772	302
970	9779	292
971	9785	281
972	9794	271
973	9804	261
974	9812	251
975	9818	241
976	9827	231
977	9835	221
978	9842	211
979	9848	200
980	9858	190
981	9867	180
982	9874	170
983	9881	160
984	9887	150
985	9896	140
986	9905	130
987	9912	120
988	9932	110
989	9952	100
990	9970	90
991	9978	80
992	9985	70
993	9991	60
994	9998	50
995	10008	40
996	10016	30
997	10024	20
998	10044	10
999	10064	0
