iter	RMSE
0	1862.105457
1	1747.575873
2	1644.39653
3	1548.387339
4	1461.350152
5	1380.285453
6	1307.701109
7	1238.83402
8	1179.249348
9	1122.174378
10	1071.025499
11	1023.470284
12	982.5076247
13	943.3103909
14	905.9590172
15	873.3520134
16	840.9052575
17	814.9448391
18	789.0265778
19	767.0808861
20	745.190769
21	727.5726637
22	710.5204303
23	694.1478906
24	680.1093127
25	667.5996507
26	656.2051596
27	646.0915007
28	635.9084718
29	627.7750356
30	620.6785256
31	612.5783571
32	604.6522041
33	598.2220767
34	593.1629209
35	587.9473357
36	583.4039841
37	578.3636738
38	574.6480548
39	570.1260823
40	566.9636841
41	564.2638958
42	560.5286372
43	557.3785061
44	554.5496449
45	552.2068352
46	549.1371958
47	547.0976734
48	544.756636
49	542.5319304
50	540.8460704
51	538.6443794
52	536.8422789
53	534.8286988
54	533.5799159
55	531.8847805
56	530.2278445
57	528.8399462
58	527.7331088
59	526.1890754
60	524.9858754
61	523.7486688
62	522.1599279
63	520.9612778
64	520.2085067
65	519.2783715
66	518.3787345
67	517.2641342
68	516.4557906
69	515.749489
70	515.0740676
71	514.0361584
72	513.0331516
73	512.3092936
74	511.3408806
75	510.782937
76	509.9344041
77	509.0758561
78	508.153886
79	506.8663836
80	506.0424643
81	505.3081491
82	504.4008927
83	503.7339616
84	503.0257322
85	502.3774809
86	501.8250137
87	500.9887685
88	500.3751277
89	499.6448703
90	499.2909792
91	498.9240644
92	498.3356109
93	498.0211707
94	497.6351432
95	497.1132139
96	496.4257058
97	496.0594736
98	495.4439631
99	494.9421735
100	494.6468662
101	494.3538737
102	493.9235486
103	493.0901578
104	492.8166599
105	492.4965658
106	492.0717604
107	491.5957524
108	491.2744189
109	490.9107132
110	490.3893582
111	489.9864364
112	489.5970839
113	488.8681552
114	488.3257595
115	487.9938368
116	487.6794714
117	487.2135969
118	486.9681865
119	486.6948255
120	486.3817491
121	485.855599
122	485.4996097
123	485.1621614
124	484.9284815
125	484.7256884
126	484.1205869
127	483.8825972
128	483.3603663
129	483.0802378
130	482.7533583
131	482.4323443
132	482.0291208
133	481.6429966
134	481.3184758
135	481.0323126
136	480.8175407
137	480.4067425
138	480.0561812
139	479.6896251
140	479.494446
141	479.2241453
142	479.0353802
143	478.7344191
144	478.482758
145	478.145491
146	477.5051314
147	477.2910255
148	477.0147084
149	476.7093635
150	476.5312379
151	476.1476056
152	475.948344
153	475.7111555
154	475.4455382
155	475.184877
156	474.9604225
157	474.7279109
158	474.5982349
159	474.2052587
160	473.9977911
161	473.8245512
162	473.4739012
163	473.3188506
164	473.0214874
165	472.8378219
166	472.6463004
167	472.4673971
168	472.2193108
169	472.0402678
170	471.7647218
171	471.5649707
172	471.4339376
173	471.3012919
174	471.1497885
175	470.9835929
176	470.8486307
177	470.538228
178	470.2623421
179	470.0319303
180	469.9360698
181	469.6975535
182	469.4049387
183	469.2719442
184	469.1248195
185	469.0273387
186	468.7934622
187	468.6779854
188	468.5405458
189	467.996973
190	467.7268227
191	467.6025886
192	467.4414958
193	467.143915
194	467.0185321
195	466.7387775
196	466.560559
197	466.3832284
198	466.2430103
199	466.0702906
200	466.032847
201	465.8507563
202	465.8108328
203	465.7809484
204	465.6205476
205	465.5337772
206	465.0096888
207	464.7886317
208	464.532468
209	464.4036801
210	464.3556204
211	464.1434285
212	464.0064417
213	463.9579005
214	463.6758697
215	463.4357449
216	463.2659459
217	463.0876552
218	462.9022813
219	462.775923
220	462.6089047
221	462.5923982
222	462.5788241
223	462.288839
224	462.1124849
225	462.0076156
226	461.8108395
227	461.6447829
228	461.4943088
229	461.3508438
230	461.1957311
231	460.9937719
232	460.8618423
233	460.7319861
234	460.3042213
235	460.2810837
236	460.0547796
237	460.010381
238	459.8865826
239	459.6208433
240	459.5144874
241	459.2481858
242	459.0625747
243	458.930447
244	458.8693021
245	458.7048261
246	458.2908475
247	458.2776998
248	458.1453971
249	457.9520649
250	457.9330539
251	457.739997
252	457.5914577
253	457.4593213
254	457.3646323
255	457.1691524
256	457.1203433
257	457.109361
258	457.0854964
259	456.9742485
260	456.8015101
261	456.6137732
262	456.4581431
263	456.3992546
264	456.32441
265	456.2040817
266	456.1954052
267	456.0321302
268	455.8531522
269	455.7247767
270	455.7176923
271	455.5711443
272	455.4361332
273	455.4134764
274	455.2891745
275	455.0734663
276	455.0012358
277	454.8294591
278	454.6758478
279	454.5180828
280	454.4324616
281	454.3225862
282	454.2155351
283	454.2044824
284	454.0740608
285	453.9624354
286	453.9443283
287	453.7114279
288	453.5536492
289	453.4605967
290	453.3609558
291	453.2487475
292	453.0989361
293	452.8878322
294	452.7438218
295	452.6020425
296	452.4999754
297	452.3427075
298	452.1519405
299	452.0013162
300	451.8743398
301	451.7258111
302	451.5782125
303	451.5665221
304	451.51275
305	451.3932633
306	451.3558297
307	451.1980366
308	451.1778588
309	451.1022789
310	450.9839859
311	450.8959385
312	450.7821837
313	450.6429722
314	450.5371119
315	450.4754487
316	450.3984427
317	450.2234851
318	450.1156905
319	450.048143
320	449.9733971
321	449.9027513
322	449.828531
323	449.7369308
324	449.598901
325	449.4769445
326	449.3248292
327	449.2403663
328	449.1766631
329	448.832408
330	448.7785766
331	448.6623432
332	448.5670305
333	448.3825791
334	448.3679163
